ID,title,year,director,writer,actor
1683,Who Framed Roger Rabbit,1988,Robert Zemeckis,Gary K. Wolf;Jeffrey Price;Peter S. Seaman,Bob Hoskins;Christopher Lloyd;Joanna Cassidy;Charles Fleischer
1684,Flubber,1997,Les Mayfield,John Hughes;Bill Walsh,Robin Williams;Marcia Gay Harden;Christopher McDonald;Raymond J. Barry
1685,Saturday Night Fever,1977,John Badham,Norman Wexler;Nik Cohn,John Travolta;Karen Lynn Gorney;Barry Miller;Joseph Cali
1686,Beerfest,2006,Jay Chandrasekhar,Jay Chandrasekhar;Erik Stolhanske;Steve Lemme;Paul Soter;Kevin Heffernan,Erik Stolhanske;Jay Chandrasekhar;Steve Lemme;Paul Soter
1687,Tenacious D in The Pick of Destiny,2006,Liam Lynch,,Jack Black;Kyle Gass;Ronnie James Dio;Tim Robbins
1688,The Amityville Horror,2005,Andrew Douglas,Sandor Stern;Scott Kosar;George Lutz;Kathy Lutz;Jay Anson,Ryan Reynolds;Melissa George;Jesse James;Chloë Grace Moretz
1689,Amityville: The Awakening,2015,Franck Khalfoun,Daniel Farrands;Casey La Scala,Bella Thorne;Jennifer Jason Leigh;Taylor Spreitler;Cameron Monaghan
1691,Funny Games,2008,Michael Haneke,Michael Haneke,Naomi Watts;Tim Roth;Michael Pitt;Brady Corbet
1692,The Protector,2005,Prachya Pinkaew,Piyaros Thongdee;Joe Wannapin;Prachya Pinkaew,Tony Jaa;Petchtai Wongkamlao;Bongkoj Khongmalai;Xing Jing
1693,Magic in the Moonlight,2014,Woody Allen,Woody Allen,Colin Firth;Emma Stone;Hamish Linklater;Marcia Gay Harden
1695,Demonic,2015,Will Canon,Will Canon;Doug Simon;Max La Bella,Maria Bello;Frank Grillo;Cody Horn;Dustin Milligan
1696,The Longest Day,1962,Ken Annakin;Andrew Marton;Bernhard Wicki,Cornelius Ryan,John Wayne;Robert Mitchum;Henry Fonda;Sean Connery
1697,Cop Out,2010,Kevin Smith,Mark Cullen;Robb Cullen,Bruce Willis;Tracy Morgan;Juan Carlos Hernández;Seann William Scott
1698,Garfield: A Tail of Two Kitties,2006,Tim Hill,Joel Cohen;Alec Sokolow;Jim Davis,Bill Murray;Jennifer Love Hewitt;Billy Connolly;Ian Abercrombie
1699,Million Dollar Arm,2014,Craig Gillespie,Thomas McCarthy,Jon Hamm;Bill Paxton;Lake Bell;Suraj Sharma
1700,Airplane!,1980,Jim Abrahams;David Zucker;Jerry Zucker,Jim Abrahams;David Zucker;Jerry Zucker,Robert Hays;Julie Hagerty;Kareem Abdul-Jabbar;Lloyd Bridges
1701,Planet Terror,2007,Robert Rodriguez,Robert Rodriguez,Rose McGowan;Naveen Andrews;Michael Biehn;Jeff Fahey
1702,Walk the Line,2005,James Mangold,James Mangold;Gill Dennis,Joaquin Phoenix;Reese Witherspoon;Ginnifer Goodwin;Robert Patrick
1703,We Bought a Zoo,2011,Cameron Crowe,Cameron Crowe;Aline Brosh McKenna,Matt Damon;Scarlett Johansson;Thomas Haden Church;Colin Ford
1704,Metropolis,1927,Fritz Lang,Fritz Lang;Thea von Harbou,Brigitte Helm;Alfred Abel;Gustav Fröhlich;Rudolf Klein-Rogge
1705,Old School,2003,Todd Phillips,Todd Phillips;Court Crandall;Scot Armstrong,Luke Wilson;Will Ferrell;Vince Vaughn;Ellen Pompeo
1706,Yearning,2015,,,
1707,American Pie Presents: The Book of Love,2009,John Putch,David H. Steinberg,Eugene Levy;Bug Hall;Kevin M. Horton;Brandon Hardesty
1708,Marley & Me,2008,David Frankel,Scott Frank;Don Roos,Owen Wilson;Jennifer Aniston;Eric Dane;Kathleen Turner
1709,Red Heat,1988,Walter Hill,Walter Hill;Harry Kleiner;Troy Kennedy Martin,Arnold Schwarzenegger;James Belushi;Ed O'Ross;Peter Boyle
1710,The Three Musketeers,2011,Paul W.S. Anderson,Alexandre Dumas père;Alex Litvak;Andrew Davies,Milla Jovovich;Orlando Bloom;Logan Lerman;Ray Stevenson
1711,The Raven,2012,James McTeigue,Hannah Shakespeare;Ben Livingston,John Cusack;Luke Evans;Alice Eve;Brendan Gleeson
1712,Delivery Man,2013,Ken Scott,Ken Scott;Martin Petit,Vince Vaughn;Cobie Smulders;Chris Pratt;Britt Robertson
1713,Blitz,2011,Elliott Lester,Ken Bruen;Nathan Parker,Jason Statham;Paddy Considine;Aidan Gillen;Zawe Ashton
1714,Tango & Cash,1989,Andrei Konchalovsky;Albert Magnoli,Randy Feldman,Sylvester Stallone;Kurt Russell;Teri Hatcher;Jack Palance
1715,Leap Year,2010,Anand Tucker,Deborah Kaplan;Harry Elfont,Amy Adams;Matthew Goode;Adam Scott;John Lithgow
1716,Year One,2009,Harold Ramis,Gene Stupnitsky;Harold Ramis;Lee Eisenberg,Jack Black;Michael Cera;Olivia Wilde;Oliver Platt
1717,Premium Rush,2012,David Koepp,David Koepp;John Kamps,Joseph Gordon-Levitt;Michael Shannon;Dania Ramirez;Jamie Chung
1718,Love & Other Drugs,2010,Edward Zwick,Charles Randolph,Jake Gyllenhaal;Anne Hathaway;Oliver Platt;Hank Azaria
1720,Scooby-Doo! and the Samurai Sword,2009,Christopher Berkeley,Joe Sichta,Frank Welker;Casey Kasem;Mindy Cohn;Grey DeLisle
1721,Five Children and It,2004,John Stephenson,David Solomons;E. Nesbit,Tara Fitzgerald;Freddie Highmore;Alex Jennings;Jonathan Bailey
1723,Chernobyl Diaries,2012,Bradley Parker,Oren Peli,Jesse McCartney;Jonathan Sadowski;Olivia Taylor Dudley;Ingrid Bolsø Berdal
1725,Backcountry,2014,Adam MacDonald,Adam MacDonald,Missy Peregrym;Jeff Roop;Eric Balfour;Nicholas Campbell
1726,Shanghai Knights,2003,David Dobkin,Alfred Gough;Miles Millar,Jackie Chan;Owen Wilson;Fann Wong;Aaron Taylor-Johnson
1727,Ice Age: Collision Course,2016,Mike Thurmeier;Galen T. Chu,Michael J. Wilson,John Leguizamo;Keke Palmer;Queen Latifah;Denis Leary
1728,The Time Machine,1960,George Pal,H.G. Wells;David Duncan,Rod Taylor;Alan Young;Yvette Mimieux;Sebastian Cabot
1729,Julie & Julia,2009,Nora Ephron,Nora Ephron;Julie Powell;Julia Child;Alex Prud'homme,Meryl Streep;Amy Adams;Chris Messina;Stanley Tucci
1730,Secret Window,2004,David Koepp,Stephen King;David Koepp,Johnny Depp;John Turturro;Maria Bello;Timothy Hutton
1731,The Signal,2014,William Eubank,Carlyle Eurbank;William Eubank;David Frigerio,Brenton Thwaites;Laurence Fishburne;Olivia Cooke;Lin Shaye
1732,The Haunted Mansion,2003,Rob Minkoff,David Berenbaum,Eddie Murphy;Terence Stamp;Nathaniel Parker;Marsha Thomason
1733,Lolita,1962,Stanley Kubrick,Vladimir Nabokov;Stanley Kubrick;James B. Harris,James Mason;Sue Lyon;Shelley Winters;Peter Sellers
1734,Johnny English Reborn,2011,Oliver Parker,William Davies,Rowan Atkinson;Dominic West;Gillian Anderson;Rosamund Pike
1735,For Love or Money,1993,Barry Sonnenfeld,Mark Rosenthal;Lawrence Konner,Michael J. Fox;Gabrielle Anwar;Anthony Higgins;Fyvush Finkel
1736,All About Eve,1950,Joseph L. Mankiewicz,Joseph L. Mankiewicz;Mary Orr,Bette Davis;Anne Baxter;George Sanders;Celeste Holm
1737,Step Brothers,2008,Adam McKay,Will Ferrell;Adam McKay,Will Ferrell;John C. Reilly;Mary Steenburgen;Richard Jenkins
1738,Fist of Fury,1972,Lo Wei,Lo Wei,Bruce Lee;Nora Miao;James Tien;Maria Yi
1739,The Purple Rose of Cairo,1985,Woody Allen,Woody Allen,Mia Farrow;Jeff Daniels;Danny Aiello;Irving Metzman
1740,Walking With Dinosaurs,2013,Neil Nightingale,John Collee,Charlie Rowe;Justin Long;Karl Urban;Angourie Rice
1741,48 Hrs.,1982,Walter Hill,Roger Spottiswoode;Walter Hill;Larry Gross;Steven E. de Souza;Jeb Stuart,Nick Nolte;Eddie Murphy;Annette O'Toole;Frank McRae
1742,Jerry Maguire,1996,Cameron Crowe,Cameron Crowe,Tom Cruise;Cuba Gooding Jr.;Renée Zellweger;Kelly Preston
1743,The Girl Who Kicked the Hornet's Nest,2009,Daniel Alfredson,Ulf Ryberg;Stieg Larsson,Michael Nyqvist;Noomi Rapace;Lena Endre;Annika Hallin
1744,New Mischief by Emil,1972,Olle Hellbom,Astrid Lindgren,Jan Ohlsson;Lena Wisborg;Allan Edwall;Emy Storm
1745,RoboCop 3,1993,Fred Dekker,Frank Miller;Fred Dekker,Robert John Burke;Nancy Allen;Mario Machado;Jodi Long
1746,Hero Company,2015,Bob Shirohata,,
1747,Absolution,2015,Keoni Waxman,Keoni Waxman;Richard Beattie,Steven Seagal;Byron Mann;Josh Barnett;Adina Stetcu
1748,Conan the Barbarian,1982,John Milius,John Milius;Oliver Stone;Edward Summer;Robert E. Howard,Arnold Schwarzenegger;James Earl Jones;Max von Sydow;Sandahl Bergman
1749,LelleBelle,2010,Mischa Kamp,Jacqueline Epskamp;Tamara Monzon,Anna Raadsveld;Benja Bruijning;Tom Van Landuyt;Renée Fokker
1750,The Exorcism of Emily Rose,2005,Scott Derrickson,Paul Harris Boardman;Scott Derrickson,Laura Linney;Tom Wilkinson;Campbell Scott;Jennifer Carpenter
1751,Frankenweenie,2012,Tim Burton,John August;Tim Burton;Leonard Ripps,Charlie Tahan;Winona Ryder;Catherine O'Hara;Martin Short
1752,Legend,1985,Ridley Scott,William Hjortsberg,Tom Cruise;Mia Sara;Tim Curry;David Bennent
1753,A Nightmare on Elm Street 4: The Dream Master,1988,Renny Harlin,Brian Helgeland;Jim Wheat;Ken Wheat,Robert Englund;Tuesday Knight;Ken Sagoes;Rodney Eastman
1754,Pokémon: The First Movie: Mewtwo Strikes Back,1998,Michael Haigney;Kunihiko Yuyama,Takeshi Shudo,Rica Matsumoto;Mayumi Iizuka;Yūji Ueda;Ikue Ōtani
1755,Ghost,1990,Jerry Zucker,Bruce Joel Rubin,Patrick Swayze;Demi Moore;Tony Goldwyn;Whoopi Goldberg
1756,The Time Traveler's Wife,2009,Robert Schwentke,Bruce Joel Rubin;Audrey Niffenegger,Eric Bana;Rachel McAdams;Michelle Nolden;Arliss Howard
1757,Unforgiven,1992,Clint Eastwood,David Webb Peoples,Clint Eastwood;Gene Hackman;Morgan Freeman;Richard Harris
1758,Highlander,1986,Russell Mulcahy,Gregory Widen,Christopher Lambert;Roxanne Hart;Clancy Brown;Sean Connery
1759,The Rover,2014,David Michôd,Joel Edgerton;David Michôd,Robert Pattinson;Guy Pearce;Scoot McNairy;Nash Edgerton
1760,Bachelor Party,1984,Neal Israel,Neal Israel;Bob Israel;Pat Proft,Tom Hanks;Tawny Kitaen;Adrian Zmed;George Grizzard
1761,Seeking a Friend for the End of the World,2012,Lorene Scafaria,Lorene Scafaria,Steve Carell;Keira Knightley;Melanie Lynskey;Patton Oswalt
1762,A Man Apart,2003,F. Gary Gray,Christian Gudegast;Paul Scheuring,Vin Diesel;Larenz Tate;Timothy Olyphant;Geno Silva
1763,Executive Decision,1996,Stuart Baird,Jim Thomas;John Thomas,Kurt Russell;Steven Seagal;Halle Berry;John Leguizamo
1764,The Unauthorized Beverly Hills 90210 Story,2015,Vanessa Parise,Jeffrey Roda,Abbie Cobb;Michele Goyns;Adam Korson;David Lennon
1765,Predators,2010,Nimród Antal,Alex Litvak;Michael Finch,Topher Grace;Alice Braga;Laurence Fishburne;Adrien Brody
1766,Police Story 4: First Strike,1996,Stanley Tong,Greg Mellott;Elliot Tong;Nick Tramontane;Stanley Tong,Jackie Chan;Bill Tung;Jackson Liu;Annie Wu
1767,Ninja Assassin,2009,James McTeigue,Matthew Sand;J. Michael Straczynski,Rain;Naomie Harris;Sung Kang;Randall Duk Kim
1768,This Is Where I Leave You,2014,Shawn Levy,Jonathan Tropper,Jason Bateman;Tina Fey;Adam Driver;Rose Byrne
1769,Ghosts of Girlfriends Past,2009,Mark Waters,Jon Lucas;Scott Moore,Matthew McConaughey;Jennifer Garner;Michael Douglas;Emma Stone
1770,Infernal Affairs,2002,Alan Mak;Andrew Lau Wai-Keung,Felix Chong;Alan Mak,Andy Lau;Tony Leung Chiu-Wai;Anthony Wong;Eric Tsang
1772,Burnt,2015,John Wells,Steven Knight;Michael Kalesniko,Bradley Cooper;Sienna Miller;Lily James;Jamie Dornan
1773,Wanderlust,2012,David Wain,Ken Marino;David Wain,Paul Rudd;Jennifer Aniston;Justin Theroux;Malin Åkerman
1774,Talladega Nights: The Ballad of Ricky Bobby,2006,Adam McKay,Will Ferrell;Adam McKay,Will Ferrell;John C. Reilly;Gary Cole;Austin Crim
1775,The Royal Tenenbaums,2001,Wes Anderson,Wes Anderson;Owen Wilson,Gene Hackman;Anjelica Huston;Ben Stiller;Gwyneth Paltrow
1776,Machete Kills,2013,Robert Rodriguez,Kyle Ward;Robert Rodriguez;Marcel Rodriguez,Danny Trejo;Mel Gibson;Amber Heard;Michelle Rodriguez
1777,Puli,2015,Chimbu Deven,Chimbu Deven,Vijay;Sudeep;Sridevi Kapoor;Prabhu Ganesan
1778,The Fall,2006,Tarsem Singh,Valeri Petrov;Dan Gilroy;Tarsem Singh,Catinca Untaru;Justine Waddell;Lee Pace;Kim Uylenbroek
1779,The Messenger: The Story of Joan of Arc,1999,Luc Besson,Luc Besson;Andrew Birkin,Milla Jovovich;Dustin Hoffman;Faye Dunaway;John Malkovich
1780,A Nightmare on Elm Street,2010,Samuel Bayer,Wesley Strick;Eric Heisserer,Jackie Earle Haley;Katie Cassidy;Kyle Gallner;Kellan Lutz
1781,Reign of Fire,2002,Rob Bowman,Gregg Shabot,Christian Bale;Matthew McConaughey;Izabella Scorupco;Gerard Butler
1782,Partisan,2015,Ariel Kleiman,Ariel Kleiman;Sarah Cyngler,Vincent Cassel;Nigel Barber;Jeremy Chabriel;Florence Mezzara
1783,Ponyo,2008,Hayao Miyazaki,Hayao Miyazaki,Yuria Nara;Hiroki Doi;George Tokoro;Tomoko Yamaguchi
1784,Europa Report,2013,Sebastián Cordero,Philip Gelatt,Sharlto Copley;Daniel Wu;Michael Nyqvist;Christian Camargo
1785,The Ring Two,2005,Hideo Nakata,Kôji Suzuki;Ehren Kruger,Naomi Watts;Simon Baker;Elizabeth Perkins;David Dorfman
1786,For the Emperor,2014,Park Sang-Joon,,Lee Min-Ki;Park Sung-Woong;Lee Tae-Im;Lee Jae-Won
1787,Tangled Ever After,2012,Nathan Greno;Byron Howard,Nathan Greno;Byron Howard;Mark Kennedy,Mandy Moore;Zachary Levi;Alan Dale;Paul F. Tompkins
1788,Halo 4: Forward Unto Dawn,2012,Stewart Hendler,Aaron Helbing;Todd Helbing,Tom Green;Anna Popplewell;Iain Belcher;Jenna Berman
1789,Broken City,2013,Allen Hughes,Brian Tucker,Mark Wahlberg;Russell Crowe;Catherine Zeta-Jones;Jeffrey Wright
1790,The Deer Hunter,1978,Michael Cimino,Michael Cimino;Deric Washburn,Robert De Niro;John Cazale;John Savage;Christopher Walken
1791,Epic,2013,Chris Wedge,Tom J. Astle;Matt Ember;James V. Hart;William Joyce;Daniel Shere,Josh Hutcherson;Amanda Seyfried;Colin Farrell;Jason Sudeikis
1792,Unstoppable,2010,Tony Scott,Mark Bomback,Denzel Washington;Chris Pine;Rosario Dawson;Jessy Schram
1793,I Spit on Your Grave 2,2013,Steven R. Monroe,Thomas Fenton;Neil Elman,Jemma Dallender;Joe Absolom;Yavor Baharov;Aleksandar Aleksiev
1795,Ong Bak,2003,Prachya Pinkaew,Suphachai Sittiaumponpan;Prachya Pinkaew;Panna Rittikrai,Tony Jaa;Petchtai Wongkamlao;Pumwaree Yodkamol;Suchao Pongwilai
1796,The NeverEnding Story,1984,Wolfgang Petersen,Herman Weigel;Wolfgang Petersen;Michael Ende,Barret Oliver;Gerald McRaney;Noah Hathaway;Drum Garrett
1797,Stand by Me Doraemon,2014,Takashi Yamazaki;Ryūichi Yagi,Fujiko F. Fujio;Takashi Yamazaki,Megumi Oohara;Subaru Kimura;Wasabi Mizuta;Yumi Kakazu
1798,Final Destination 2,2003,David R. Ellis,J. Mackye Gruber;Eric Bress,Ali Larter;A.J. Cook;Michael Landes;Tony Todd
1799,Jimi: All Is by My Side,2014,John Ridley,John Ridley,Imogen Poots;Burn Gorman;Ruth Negga;André Benjamin
1800,Role Models,2008,David Wain,Paul Rudd;David Wain;Ken Marino;Timothy Dowling;W. Blake Herron,Seann William Scott;Paul Rudd;Elizabeth Banks;Christopher Mintz-Plasse
1801,U Turn,1997,Oliver Stone,John Ridley,Sean Penn;Nick Nolte;Jennifer Lopez;Joaquin Phoenix
1802,The Wolfman,2010,Joe Johnston,Andrew Kevin Walker;David Self;Curt Siodmak,Benicio del Toro;Anthony Hopkins;Emily Blunt;Hugo Weaving
1803,Sphere,1998,Barry Levinson,Michael Crichton;Stephen Hauser;Paul Attanasio,Dustin Hoffman;Sharon Stone;Samuel L. Jackson;Peter Coyote
1804,Outbreak,1995,Wolfgang Petersen,Laurence Dworet;Robert Roy Pool,Dustin Hoffman;Rene Russo;Morgan Freeman;Kevin Spacey
1805,Barbie and the Three Musketeers,2009,William Lau,Amy Wolfram,Kelly Sheridan;Tim Curry;Kira Tozer;Willow Johnson
1806,To Kill a Mockingbird,1962,Robert Mulligan,Horton Foote;Harper Lee,Gregory Peck;Mary Badham;Phillip Alford;Robert Duvall
1807,Dante's Peak,1997,Roger Donaldson,Leslie Bohem,Pierce Brosnan;Linda Hamilton;Charles Hallahan;Jamie Renée Smith
1808,Monte Carlo,2011,Thomas Bezucha,Thomas Bezucha,Selena Gomez;Katie Cassidy;Cory Monteith;Leighton Meester
1809,Contraband,2012,Baltasar Kormákur,Aaron Guzikowski,Mark Wahlberg;Kate Beckinsale;Ben Foster;Giovanni Ribisi
1810,Wer,2013,William Brent Bell,William Brent Bell;Matthew Peterman,A.J. Cook;Sebastian Roché;Vik Sahay;Stephanie Lemelin
1811,The Uninvited,2009,Charles Guard;Thomas Guard,Craig Rosenberg;Doug Miro;Carlo Bernard,Emily Browning;Arielle Kebbel;David Strathairn;Elizabeth Banks
1812,The Terminal,2004,Steven Spielberg,Sacha Gervasi;Jeff Nathanson,Tom Hanks;Catherine Zeta-Jones;Stanley Tucci;Chi McBride
1813,National Lampoon’s European Vacation,1985,Amy Heckerling,John Hughes,Chevy Chase;Beverly D'Angelo;Dana Hill;Jason Lively
1814,Push,2009,Paul McGuigan,David Bourla,Dakota Fanning;Camilla Belle;Chris Evans;Djimon Hounsou
1815,The Net,1995,Irwin Winkler,John D. Brancato;Michael Ferris,Sandra Bullock;Jeremy Northam;Dennis Miller;Wendy Gazelle
1816,The Arrival,1996,David Twohy,David Twohy,Charlie Sheen;Lindsay Crouse;Richard Schiff;Shane
1817,Back to the Future Part II,1989,Robert Zemeckis,Bob Gale;Robert Zemeckis,Michael J. Fox;Christopher Lloyd;Lea Thompson;Elisabeth Shue
1818,The Scorpion King,2002,Chuck Russell,Stephen Sommers;William Osborne;David Hayter,Dwayne Johnson;Kelly Hu;Michael Clarke Duncan;Steven Brand
1819,Once Upon a Time in Mexico,2003,Robert Rodriguez,Robert Rodriguez,Antonio Banderas;Salma Hayek;Johnny Depp;Eva Mendes
1820,Major Payne,1995,Nick Castle,Dean Lorey;Damon Wayans;Gary Rosen,Ross Bickell;Joseph Blaire;Damon Wayans;Orlando Brown
1821,Mr. Popper's Penguins,2011,Mark Waters,Sean Anders;John Morris,Jim Carrey;Carla Gugino;Madeline Carroll;Angela Lansbury
1822,Hostel: Part II,2007,Eli Roth,Eli Roth,Lauren German;Bijou Phillips;Heather Matarazzo;Richard Burgi
1823,Kill the Messenger,2014,Michael Cuesta,Peter Landesman,Jeremy Renner;Mary Elizabeth Winstead;Michael Sheen;Ray Liotta
1824,The Blind Side,2009,John Lee Hancock,John Lee Hancock;Michael Lewis,Sandra Bullock;Quinton Aaron;Kathy Bates;Tim McGraw
1825,Big Fish,2003,Tim Burton,Daniel Wallace;John August,Ewan McGregor;Albert Finney;Billy Crudup;Jessica Lange
1826,TRON,1982,Steven Lisberger,Steven Lisberger,Jeff Bridges;Bruce Boxleitner;David Warner;Cindy Morgan
1827,Magnolia,1999,Paul Thomas Anderson,Paul Thomas Anderson,Julianne Moore;William H. Macy;John C. Reilly;Tom Cruise
1828,Blow,2001,Ted Demme,Bruce Porter;David McKenna;Nick Cassavetes,Johnny Depp;Penélope Cruz;Ethan Suplee;Ray Liotta
1829,Menace II Society,1993,Albert Hughes;Allen Hughes,Tyger Williams,Tyrin Turner;Larenz Tate;Glenn Plummer;Jada Pinkett Smith
1830,Red Vacance Black Wedding,2011,Kim Tai-sik;Park Chul-soo,,Oh In-Hye
1831,Good Luck Chuck,2007,Mark Helfrich,Steve Glenn;Josh Stolberg,Jessica Alba;Dane Cook;Dan Fogler;Lonny Ross
1832,Ali G Indahouse,2002,Mark Mylod,Sacha Baron Cohen;Dan Mazer,Sacha Baron Cohen;Michael Gambon;Charles Dance;Kellie Bright
1833,Akron,2015,Brian O'Donnell;Sasha King,,Matthew Frias;Edmund Donovan;Andrea Burns;Amy da Luz
1834,Epic Movie,2007,Jason Friedberg;Aaron Seltzer,Jason Friedberg;Aaron Seltzer,Kal Penn;Adam Campbell;Jennifer Coolidge;Jayma Mays
1836,Over the Hedge,2006,Tim Johnson;Karey Kirkpatrick,Len Blum;Lorne Cameron;David Hoselton;Karey Kirkpatrick,Bruce Willis;Garry Shandling;Steve Carell;Wanda Sykes
1837,Drive Angry,2011,Patrick Lussier,Patrick Lussier;Todd Farmer,Nicolas Cage;Amber Heard;William Fichtner;Billy Burke
1838,The Godfather: Part III,1990,Francis Ford Coppola,Mario Puzo;Francis Ford Coppola,Al Pacino;Diane Keaton;Andy García;Talia Shire
1839,The Face of Love,2013,Arie Posin,Arie Posin;Matthew McDuffie,Annette Bening;Ed Harris;Robin Williams;Jess Weixler
1840,Turks & Caicos,2014,David Hare,David Hare,Bill Nighy;Christopher Walken;Winona Ryder;Ralph Fiennes
1841,Jersey Boys,2014,Clint Eastwood,Rick Elice;John Logan,Christopher Walken;Vincent Piazza;Freya Tingley;James Madio
1842,My Neighbors the Yamadas,1999,Isao Takahata,Hisaichi Ishii;Isao Takahata,Hayato Isobata;Masako Araki;Naomi Uno;Tôru Masuoka
1843,Water for Elephants,2011,Francis Lawrence,Richard LaGravenese;Sara Gruen,Robert Pattinson;Reese Witherspoon;Christoph Waltz;Tatum Etheridge
1844,Dumb and Dumberer: When Harry Met Lloyd,2003,Troy Miller,Troy Miller;Robert Brener,Mimi Rogers;Eric Christian Olsen;Luis Guzmán;Rachel Nichols
1845,Into the Grizzly Maze,2015,David Hackl,Guy Moshe;Rick Cleveland,James Marsden;Piper Perabo;Billy Bob Thornton;Thomas Jane
1846,Robin Hood: Men in Tights,1993,Mel Brooks,Evan Chandler;Mel Brooks;J.D. Shapiro,Cary Elwes;Dom DeLuise;Roger Rees;Dave Chappelle
1847,Tootsie,1982,Sydney Pollack,Larry Gelbart;Don McGuire,Dustin Hoffman;Jessica Lange;Teri Garr;Dabney Coleman
1848,Dark City,1998,Alex Proyas,Alex Proyas;Lem Dobbs;David S. Goyer,Rufus Sewell;William Hurt;Kiefer Sutherland;Jennifer Connelly
1849,I Still Know What You Did Last Summer,1998,Danny Cannon,Trey Callaway,Jennifer Love Hewitt;Freddie Prinze Jr.;Mekhi Phifer;Brandy Norwood
1850,Superman III,1983,Richard Lester,David Newman;Leslie Newman,Christopher Reeve;Richard Pryor;Jackie Cooper;Marc McClure
1851,101 Dalmatians II: Patch's London Adventure,2003,Jim Kammerud;Brian Smith,Jim Kammerud;Garrett K. Schiff;Dan Root;Brian Smith;Dodie Smith;Brian Smith,Barry Bostwick;Jason Alexander;Martin Short;Bobby Lockwood
1852,The 13th Warrior,1999,John McTiernan,William Wisher Jr.;Warren Lewis;Michael Crichton,Antonio Banderas;Vladimir Kulich;Dennis Storhøi;Daniel Southern
1853,Max Payne,2008,John Moore,Beau Thorne,Mark Wahlberg;Mila Kunis;Beau Bridges;Chris "Ludacris" Bridges
1854,Mood Indigo,2013,Michel Gondry,Boris Vian;Luc Bossi;Michel Gondry,Romain Duris;Audrey Tautou;Gad Elmaleh;Omar Sy
1855,Breakfast at Tiffany's,1961,Blake Edwards,Truman Capote;George Axelrod,Audrey Hepburn;George Peppard;Patricia Neal;Buddy Ebsen
1856,Paranormal Activity 4,2012,Henry Joost;Ariel Schulman,Christopher B. Landon,Katie Featherston;Kathryn Newton;Matt Shively;Brady Allen
1857,While We're Young,2015,Noah Baumbach,Noah Baumbach,Ben Stiller;Naomi Watts;Adam Driver;Amanda Seyfried
1858,Anchorman 2: The Legend Continues,2013,Adam McKay,Will Ferrell;Adam McKay,Will Ferrell;Steve Carell;Paul Rudd;Luke Wilson
1859,The Physician,2013,Philipp Stölzl,Noah Gordon;Jan Berger,Tom Payne;Ben Kingsley;Stellan Skarsgård;Olivier Martinez
1860,Akira,1988,Katsuhiro Ōtomo,Katsuhiro Ōtomo;Izo Hashimoto,Mitsuo Iwata;Nozomu Sasaki;Mami Koyama;Tesshō Genda
1861,The Ghost Writer,2010,Roman Polanski,Robert Harris;Roman Polanski,Ewan McGregor;Pierce Brosnan;Jon Bernthal;Kim Cattrall
1862,A Walk in the Woods,2015,Ken Kwapis,Bill Bryson;Bill Holderman;Rick Kerb,Robert Redford;Nick Nolte;Emma Thompson;Nick Offerman
