ID,Title,Author,Price,Edition,ASIN,ISBN_13,ISBN_10,Paperback,Series,Publisher_dummy,Publisher,Publication_Date,Sold_by,Language,Product Dimensions,Shipping Weight
559,"Rendering Fashion, Fabric and Prints with Adobe Photoshop",M. Kathleen Colussy# Steve Greenberg,$11.13 - $114.85,PAP/CDR Edition,,,,,,,,,,,,
560,Information Systems Technology,Ross Malaga,$19.88 , ,,978-0130497505,130497509,,,Prentice Hall ,Prentice Hall,,,English,8.5 x 0.9 x 11 inches,2.5 pounds
561,Prentice Hall Test Prep Series: Microsoft Excel 2002 MOUS Expert Level,Marianne Fox# Lawrence C. Metzelaar# Marianne Fox,$2.58 - $80.00, ,,978-0130497802,130497800,557 pages,Prentice Hall Test Prep Series,Prentice Hall ,Prentice Hall,,,English,8.6 x 0.9 x 11 inches,2.6 pounds (View shipping rates and policies)
562,Optical Networks: Third Generation Transport Systems,Uyless Black,$2.40 ,1st Edition,,978-0130607263,130607266,,Prentice Hall Series in Advanced Communications Technologies,Prentice Hall PTR,Prentice Hall PTR,,,English,7.2 x 1.2 x 9.5 inches,1.9 pounds
563,"Introduction to Telecommunications: Voice, Data, and the Internet ",Marion Cole,$70.78 ,2nd Edition,,978-0130608901,130608904,,,Prentice Hall,Prentice Hall,,,English,7.8 x 1.3 x 9.3 inches,2.4 pounds
564,Microprocessors and Microcomputers: Hardware and Software ,Ronald J. Tocci# Frank J. Ambrosio,$4.93 ,6th Edition,,978-0130609045,130609048,624 pages,,Prentice Hall,Prentice Hall,,,English,7.4 x 1.2 x 9 inches,2.3 pounds (View shipping rates and policies)
565,Engineering Mechanics: Statics Workbook,Allan Bedford,$7.98 ,3rd Edition,,978-0130615749,130615749,128 pages,,Prentice-Hall,Prentice-Hall,,,English,8.1 x 0.4 x 10.1 inches,9.4 ounces
566,JumpStart Technology: Effective Use in the Solaris Operating Environment ,John S. Howard# Alex Noordergraaf,$2.07 ,,,978-0130621542,130621544,288 pages,The official Sun Microsystems resource series,Prentice Hall PTR ,Prentice Hall PTR,,,English,6.9 x 0.9 x 9.3 inches,1.3 pounds
567,New Biology for Engineers and Computer Scientists,Aydin Tozeren# Stephen W. Byers# Aydin Tozeren,$194.44 ,1st Edition,,978-0130664631,130664634,286 pages,,Prentice Hall,Prentice Hall,,,English,8.2 x 0.8 x 9.2 inches,1.3 pounds (View shipping rates and policies)
568,Core J2ME Technology,John W. Muchow,$0.00 ,1st Edition,,978-0130669117,130669113,736 pages,Core,Prentice Hall PTR,Prentice Hall PTR,,,English,9.3 x 6.9 x 1.3 inches,2.2 pounds
569,NT Network Programming Toolkit,John Murphy,$8.00 ,,,978-0130813244,130813249,227 pages,Prentice Hall Series on Microsoft Technologies,Prentice Hall PTR ,Prentice Hall PTR,,,English,9.2 x 7 x 0.8 inches,1.2 pounds
570,"Computing Calamities: Lessons Learned from Products, Projects, and Companies That Failed",Robert L. Glass,$0.01 ,,,978-0130828620,130828629,352 pages,,Prentice Hall,Prentice Hall,,,English,0.8 x 6 x 9 inches,1.2 pounds
571,"AS/400: System, Utilities, Database, and Programming ",George Lin# Gayla Stewart# IBM Books# Gayla Stewart,$12.76 ,2nd Edition,,978-0130830678,130830674,696 pages,,IBM Press,IBM Press,,,English,8.3 x 1.6 x 11 inches,3 pounds (View shipping rates and policies)
572,Computer Simulated Experiments for Electric Circuits Using Electronics Workbench ,Richard H. Berube# Richard Berube# Richard H. Berube,$9.69 ,2nd Edition,,978-0130845085,130845086,293 pages,,Prentice Hall,Prentice Hall,,,English,8.2 x 0.5 x 11 inches,1.7 pounds
573,"Silicon VLSI Technology: Fundamentals, Practice, and Modeling",James D. Plummer# Michael Deal# Peter D. Griffin# Michael Deal,$57.65 - $163.05,1st Edition,,978-0130850379,130850373,817 pages,,Prentice Hall,Prentice Hall,,,English,7.3 x 1.7 x 8.9 inches,3.9 pounds (View shipping rates and policies)
574,ADO Programming in Visual Basic 6,Steven Holzner,$0.30 , ,,978-0130858573,130858579,640 pages,Microsoft Technology,Prentice Hall PTR ,Prentice Hall PTR,,,English,9.2 x 7 x 1.7 inches,2.8 pounds
575,"Scaling for E-Business: Technologies, Models, Performance, and Capacity Planning",Daniel A. Menasce# Virgilio A.F. Almeida,$9.94 - $54.99,1st Edition,,978-0130863287,130863289,462 pages,,Prentice Hall,Prentice Hall,,,English,6.9 x 1.1 x 9.4 inches,1.7 pounds (View shipping rates and policies)
576,The Computer Continuum ,Kurt F. Lauckner# Mildred D. Lintner,$4.77 ,2nd Edition,,978-0130898135,130898139,489 pages,,Prentice Hall,Prentice Hall,,,English,8.5 x 0.8 x 10.9 inches,2.4 pounds
577,Computers in Your Future ,Bryan Pfaffenberger# Roberta Baber# Bryan Pfaffenberger,$5.47 ,4th Edition,,978-0130898159,130898155,688 pages,,Pearson Education,Pearson Education,,,English,8.5 x 1 x 10.9 inches,3 pounds (View shipping rates and policies)
578,Performance by Design: Computer Capacity Planning By Example,Daniel A. Menasce# Lawrence W. Dowdy# Daniel A. Menasce# Virgilio A.F. Almeida# Lawrence W. Dowdy,$18.13 - $45.32,1st Edition,,978-0130906731,130906735,480 pages,,Prentice Hall,Prentice Hall,,,English,7.2 x 1.1 x 9.4 inches,1.8 pounds (View shipping rates and policies)
579,Cryptography and Network Security: Principles and Practice ,William Stallings,$3.99 ,3rd Edition,,978-0130914293,130914290,,The William Stallings books on computer & data communications technology,Prentice Hall,Prentice Hall,,,English,7 x 1.3 x 9.9 inches,2.6 pounds
580,Cisco Network Security,James Pike,$0.38 ,,,978-0130915184,130915181,,Prentice Hall PTR Cisco Technology,Prentice Hall PTR,Prentice Hall PTR,,,English,7.3 x 1 x 9.5 inches,1.8 pounds
581,Principles of Wireless Networks: A Unified Approach ,Kaveh Pahlavan# Prashant Krishnamurthy,$4.12 , ,,978-0130930033,130930032,608 pages,Prentice Hall Communications Engineering and Emerging Technologies Series,Prentice Hall PTR ,Prentice Hall PTR,,,English,7 x 1.2 x 9.1 inches,2.3 pounds
582,Digital and Microprocessor Fundamentals: Theory and Application ,William Kleitz,$39.98 ,4th Edition,,978-0130932174,130932175,,,Prentice Hall,Prentice Hall,,,English,8.8 x 1.2 x 11.2 inches,3.3 pounds
583,"In the Realm of the Circuit: Computers, Art, and Culture",Charles H. Traub# Jonathan Lipkin# Charles H. Traub,$0.77 ,1st Edition,,978-0130936745,013093674X,,,Prentice Hall,Prentice Hall,,,English,8.2 x 1 x 10.2 inches,2.3 pounds
584,DSL Advances,Thomas Starr# Massimo Sorbara# Thomas Starr# John M. Cioffi# Massimo Sorbara# Peter J. Silverman# John M. Cioffi,$41.66 - $75.00,1st Edition,,978-0130938107,130938106,576 pages,,Prentice Hall,Prentice Hall,,,English,7 x 1.3 x 9.2 inches,2 pounds (View shipping rates and policies)
585,Solving Data Mining Problems Through Pattern Recognition ,Unica Technologies Inc# Staff Unica Technology Incorpor# Unica Technologies Inc,$0.66 ,,,978-0130950833,130950831,,Data Warehousing Institute Series from Prentice Hall PTR,Prentice Hall ,Prentice Hall,,,English,9.5 x 7.3 x 1.4 inches,2.2 pounds
586,Understanding DCOM,William Rubin# Marshall Brain,$0.30 ,,,978-0130959669,130959669,320 pages,Prentice Hall Series on Microsoft Technologies,Prentice Hall Ptr ,Prentice Hall Ptr,,,English,1.2 x 7.5 x 9.5 inches,2.8 pounds
587,RPG/400 Programming on the AS/400,Stanley E. Myers# Candice E. Myers,$49.95 - $150.80,1st Edition,,978-0130967367,013096736X,752 pages,,Pearson,Pearson,,,English,8.1 x 1.5 x 11 inches,3.5 pounds (View shipping rates and policies)
588,Designing and Developing Web-based Instruction,Haomin Wang# Deborah L. Gearhart,$20.45 - $24.17, ,,978-0130987808,130987808,320 pages,,Pearson ,Pearson,,,English,7.5 x 0.8 x 9.1 inches,1 pounds
589,"Network Management, MIBs and MPLS: Principles, Design and Implementation",Stephen B. Morris,$0.05 - $44.99,1st Edition,,978-0131011137,131011138,416 pages,,Prentice Hall,Prentice Hall,,,English,6.8 x 1 x 9 inches,1.5 pounds (View shipping rates and policies)
590,Emerging Topics in Computer Vision,Gerard Medioni# Sing Bing Kang# Gerard Medioni,$0.33 - $82.46,1st Edition,,978-0131013667,131013661,688 pages,,Prentice Hall,Prentice Hall,,,English,7 x 1.6 x 9.4 inches,2.6 pounds (View shipping rates and policies)
591,Early Edition Corporate Computer and Network Security,Raymond Panko,$1.99 ,,,978-0131017740,131017748,432 pages,,Prentice Hall,Prentice Hall,,,English,10.7 x 8.5 x 0.9 inches,2.2 pounds
592,Fundamentals of Computer Security Technology,Edward Amoroso,$0.01 - $76.00,1st Edition,,978-0131089297,131089293,432 pages,,Prentice Hall,Prentice Hall,,,English,7 x 0.9 x 9.1 inches,1.5 pounds (View shipping rates and policies)
593,CAD/CAM: Computer-Aided Design and Manufacturing,M. Groover# E. Zimmers# M. Groover,$82.99 ,1st Edition,,978-0131101302,131101307,512 pages,,Prentice Hall,Prentice Hall,,,English,7 x 1.2 x 9.3 inches,2.1 pounds (View shipping rates and policies)
594,Computer Ethics ,Deborah G. Johnson,$50.44 ,4th Edition,,978-0131112414,131112414,216 pages,,Pearson,Pearson,,,English,5.9 x 0.5 x 8.8 inches,9.9 ounces (View shipping rates and policies)
595,Computer Integrated Construction Project Scheduling,John Buttelwerth,$14.98 - $144.94, ,,978-0131114654,131114654,496 pages,,Prentice Hall ,Prentice Hall,,,English,9 x 1.7 x 12.1 inches,3.8 pounds (View shipping rates and policies)
596,"Project Management for Information, Technology, Business and Certification",Gopal K. Kapur President,$4.82 ,1st Edition,,978-0131123359,131123351,,,Prentice Hall,Prentice Hall,,,English,8.4 x 1.3 x 11.2 inches,3.2 pounds
597,Microcontroller Technology: The 68HC11 and 68HC12 ,Peter Spasov,$4.99 - $194.24,5th Edition,,978-0131129849,131129848,,,Prentice Hall,Prentice Hall,,,English,7.4 x 1.8 x 9 inches,2.9 pounds (View shipping rates and policies)
598,Home Technology Integration Fundamentals and Certification,Cisco Learning Institute,$105.62 ,,,,,,,,,,,,,
599,Technology Tools for Teachers: A Microsoft Office Tutorial ,Steven C. Mills# M. D. Roblyer,$15.95 ,2nd Edition,,978-0131187276,131187279,272 pages,,Prentice Hall,Prentice Hall,,,English,8.2 x 0.6 x 10.8 inches,1.3 pounds
600,Process Control Instrumentation Technology ,Curtis D. Johnson,$4.41 ,8th Edition,,978-0131194571,131194577,704 pages,,Prentice Hall,Prentice Hall,,,English,7.4 x 1.6 x 9 inches,2.6 pounds (View shipping rates and policies)
601,Zen and the Art of the Internet: A Beginner's Guide ,Brendan P. Kehoe,$0.01 ,,,978-0131214927,131214926,193 pages,Prentice Hall Series in Innovative Technology,Prentice Hall Ptr,Prentice Hall Ptr,,,English,0.5 x 6 x 9.2 inches,12 ounces
602,Cmos Digital Circuit Technology ,Masakazu Shoji,$0.40 ,,,978-0131388505,131388509,,Prentice Hall computer system series,Prentice Hall ,Prentice Hall,,,English,6.3 x 1 x 9.4 inches,1.8 pounds
603,"Technology In Action, Complete ",Alan Evans# Kendall Martin# Mary Anne Poatsy# Kendall Martin,$3.99 ,8th Edition,,978-0131391574,131391577,720 pages,,Prentice Hall,Prentice Hall,,,English,8.5 x 0.9 x 10.9 inches,2.9 pounds
604,"Technology In Action, Introductory ",Alan Evans# Kendall Martin# Alan Evans# MaryAnne Poatsy# Kendall Martin,$3.99 ,8th Edition,,,,,,,,,,,,
605,myitlab with Pearson eText -- Access Card -- for Technology in Action with Office 2010,Pearson Education,$3.30 - $118.67,1st Edition,,978-0131392564,131392565,,MyITLab,Prentice Hall,Prentice Hall,,,English,6.5 x 0.1 x 9 inches,4 ounces (View shipping rates and policies)
606,Computers: Tools for an Information Age ,H. L. Capron# J. A. Johnson,$3.99 ,8th Edition,,978-0131405646,131405640,624 pages,,Prentice Hall,Prentice Hall,,,English,8.3 x 1 x 10.9 inches,2.9 pounds
607,"Computers: Brief, Eighth Edition",H. L. Capron# J. A. Johnson,$4.98 ,8th Edition,,978-0131405653,131405659,368 pages,,Prentice Hall,Prentice Hall,,,English,8.3 x 0.6 x 11 inches,1.6 pounds
608,Computers in Society,Joey F. George,$5.34 , ,,978-0131406605,131406604,,,Prentice Hall ,Prentice Hall,,,English,8.2 x 1.3 x 10.3 inches,1.9 pounds
609,Computer Networking with Internet Protocols and Technology,William Stallings,$24.95 ,1st Edition,,978-0131410985,131410989,656 pages,,Pearson,Pearson,,,English,7 x 1.5 x 8.9 inches,12.6 ounces (View shipping rates and policies)
610,Business Intelligence for the Enterprise,Mike Biere,$6.99 - $44.99,1st Edition,,978-0131413030,131413031,240 pages,,IBM Press,IBM Press,,,English,6.9 x 0.8 x 9 inches,13.6 ounces (View shipping rates and policies)
611,Modern Graphics Communication ,Frederick E. Giesecke# Alva Mitchell# Frederick E. Giesecke# Henry C. Spencer# Alva Mitchell# John Thomas Dygdon# Henry C. Spencer# James E. Novak# John Thomas Dygdon# Ivan Leroy Hill# James E. Novak# Shawna D. Lockhart,$25.00 ,3rd Edition,,978-0131415164,131415166,640 pages,,Prentice Hall,Prentice Hall,,,English,8 x 0.9 x 10 inches,2.6 pounds
612,Engineering Graphics ,Frederick E. Giesecke# Alva E. Mitchell# Frederick E. Giesecke# Henry C. Spencer# Alva E. Mitchell# Ivan L. Hill# Henry C. Spencer# John Thomas Dygdon# Ivan L. Hill# James E. Novak# John Thomas Dygdon# Robert Olin Loving# James E. Novak,$77.00 - $157.44,8th Edition,,978-0131415218,131415212,,,Peachpit Press,Peachpit Press,,,English,8.2 x 1.4 x 10 inches,3.6 pounds (View shipping rates and policies)
613,Home Technology Integration+ ,Cisco Learning Institute,$14.19 - $178.87,1st Edition,,978-0131421066,131421069,,,Prentice Hall Certification,Prentice Hall Certification,,,English,8.4 x 1.2 x 11.1 inches,3.7 pounds (View shipping rates and policies)
614,"Technology in Action, Introductory",Alan Evans# Kendall Martin# Mary Anne Poatsy,$4.40 - $61.73,Introductory Ed Edition,,978-0131423947,131423940,464 pages,,Prentice Hall,Prentice Hall,,,English,8.5 x 0.6 x 10.8 inches,2.4 pounds (View shipping rates and policies)
615,Engineering Design Graphics ,James H. Earle,$17.22 ,11th Edition,,978-0131425736,131425730,,,Prentice Hall,Prentice Hall,,,English,8 x 1.4 x 9.5 inches,3.4 pounds
616,Computers in a Changing Society,John Preston# Sally Preston# John Preston# Robert L. Ferrett# Sally Preston,$0.01 ,,,978-0131451933,131451936,304 pages,,Prentice Hall ,Prentice Hall,,,English,8.5 x 0.4 x 10.8 inches,1.4 pounds
617,LDAP in the Solaris Operating Environment: Deploying Secure Directory Services,Michael Haines# Tom Bialaski# Michael Haines,$3.90 - $62.99,1st Edition,,978-0131456938,131456938,704 pages,,Prentice Hall,Prentice Hall,,,English,6.9 x 1.5 x 9 inches,2.4 pounds (View shipping rates and policies)
618,Enterprise SOA: Service-Oriented Architecture Best Practices,Dirk Krafzig# Karl Banke# Dirk Slama,$10.82 - $35.26,1st Edition,,,,,,,,,,,,
619,UNIX Shells by Example ,Ellie Quigley,$18.93 - $30.96,4th Edition,,978-0131475724,013147572X,1200 pages,,Prentice Hall,Prentice Hall,,,English,7 x 1.6 x 9.2 inches,3.8 pounds (View shipping rates and policies)
620,Networking Concepts and Technology: A Designer's Resource,Deepak Kakadia# Francesco DiMambro,$0.79 - $54.99,1st Edition,,978-0131482074,131482076,400 pages,,Prentice Hall,Prentice Hall,,,English,7 x 1 x 9.2 inches,1.7 pounds (View shipping rates and policies)
621,"Core Servlets and Javaserver Pages: Advanced Technologies, Vol. 2 ",Marty Hall# Larry Brown# Marty Hall# Yaakov Chaikin# Larry Brown,$25.49 ,2nd Edition,,978-0131482609,131482602,736 pages,,Prentice Hall,Prentice Hall,,,English,7 x 1.6 x 9 inches,3.2 pounds (View shipping rates and policies)
622,Hands-on Networking with Internet Technologies ,Douglas E Comer,$33.70 - $63.19,2nd Edition,,978-0131486966,131486969,256 pages,,Pearson,Pearson,,,English,6.9 x 0.7 x 9.2 inches,13.4 ounces (View shipping rates and policies)
623,Essentials of Computer Architecture,Douglas E. Comer,$63.85 - $101.99,1st Edition,,978-0131491793,131491792,,,Pearson,Pearson,,,English,7.3 x 1 x 9.2 inches,1.6 pounds
624,"Human Performance Engineering: Designing High Quality Professional User Interfaces for Computer Products, Applications and Systems ",Robert N. Bailey,$18.75 - $89.42,3rd Edition,,978-0131496347,131496344,576 pages,,Prentice Hall,Prentice Hall,,,English,6.9 x 1.4 x 9.1 inches,2.2 pounds (View shipping rates and policies)
625,Computer Literacy for IC3,John Preston# Sally Preston# John Preston# Robert L. Ferrett# Sally Preston,$9.90 , ,,978-0131498648,131498649,,,Prentice Hall ,Prentice Hall,,,English,8.9 x 1.3 x 11 inches,4.1 pounds
626,Information Security: Principles and Practices,Mark S. Merkow# James Breithaupt,$13.99 - $150.80, ,,978-0131547292,131547291,448 pages,,Prentice Hall ,Prentice Hall,,,English,7.5 x 1 x 9.1 inches,1.4 pounds (View shipping rates and policies)
627,Computer Numerical Control Programming,Michael Sava,$2.68 - $141.40,1st Edition,,978-0131560840,131560840,336 pages,,Prentice Hall,Prentice Hall,,,English,6.9 x 0.8 x 9.2 inches,1.2 pounds (View shipping rates and policies)
628,Practical Computing ,Lynn Hogan,$0.38 ,2nd Edition,,978-0131585638,131585630,360 pages,,Prentice Hall,Prentice Hall,,,English,8.4 x 0.7 x 10.8 inches,1.6 pounds
629,Persistence in the Enterprise: A Guide to Persistence Technologies,Geoffrey Hambrick# Kyle Brown# Roland Barcia# Robert Peterson# Kulvir S. Bhogal# Robert Peterson,$31.19 ,1st Edition,,978-0131587564,131587560,,,IBM Press,IBM Press,,,English,7.1 x 1.4 x 9.5 inches,2.3 pounds
630,Computer Graphics for Design: From Algorithms to Autocad,Daniel B. Olfe,$0.01 ,,,978-0131595835,131595830,,,Prentice Hall College Div ,Prentice Hall College Div,,,English,1 x 7.2 x 10 inches,2.2 pounds
631,Computer Engineering: Hardware Design,M. Morris Mano,$14.99 ,US ed Edition,,978-0131629264,131629263,,,Prentice Hall,Prentice Hall,,,English,7.8 x 0.9 x 9.5 inches,1.8 pounds
632,Computer-Communication Network Design and Analysis,Mischa Schwartz,$31.01 ,Margin Notes Edition,,978-0131651340,013165134X,,,Prentice Hall,Prentice Hall,,,English,9 x 6.1 x 1.1 inches,1.4 pounds
633,Computer Vision,Dana H. Ballard# Christopher M. Brown# Dana H. Ballard,$24.73 ,First Edition,,978-0131653160,131653164,,,Prentice Hall,Prentice Hall,,,English,7.1 x 1.1 x 9.4 inches,2.2 pounds
634,Computer Organization: Hardware/Software,George W. Gorsline,$0.54 ,2 Sub Edition,,978-0131653252,131653253,,,Prentice Hall,Prentice Hall,,,English,9.4 x 7.1 x 1.5 inches,2.6 pounds
635,Computer System Architecture,M. Morris Mano,$4.00 ,2nd Edition,,978-0131666115,131666118,,,Prentice Hall,Prentice Hall,,,English,9.2 x 7.2 x 1.2 inches,1.2 pounds
636,Network Defense and Countermeasures: Principles and Practices,William (Chuck) Easttom II,$0.98 , ,,978-0131711266,131711261,448 pages,,Prentice Hall ,Prentice Hall,,,English,7.5 x 1 x 9 inches,1 pounds
637,Electronics and Computer Math ,Bill R. Deem# Tony Zannini,$46.37 ,8th Edition,,978-0131711372,131711377,736 pages,,Prentice Hall,Prentice Hall,,,English,8.2 x 1.7 x 10.7 inches,3 pounds (View shipping rates and policies)
